,Title,Author,Rating,Raters,Genres
179,Among the Ten Thousand Things,Julia Pierpont,2.82,11513,"Fiction,Literary Fiction,Contemporary,New York,Family,Marriage,Adult Fiction,Audiobook,Novels,Adult"
180,The Brass Bed (Jewel Heiss #1),Jennifer Stevenson,2.9,794,"Romance,Fantasy,Fantasy,Fiction,Romance,Womens Fiction,Humor,Fantasy,Fantasy,Adult Fiction"
181,Girls in Trucks,Katie Crouch,2.84,8731,"Fiction,Womens Fiction,Contemporary,American,Adult,Adult Fiction,Young Adult,Young Adult,Romance,Womens"
182,Scientology 8-8008: How to Increase Your Spirituality Ability from Zero to Infinity,L. Ron Hubbard,3.02,184,"Religion,Philosophy,Nonfiction"
183,The Culling: Rise of the Ravagers,Scott Lobdell,2.84,294,"Sequential Art,Sequential Art,Superheroes,Comics,Comics,Young Adult,Graphic Novels Comics,Science Fiction"
184,"Eat, Drink and Remarry: Confessions of a Serial Wife",Margo Howard,2.93,119,"Nonfiction,Autobiography,Biography Memoir"
185,The Uncoupling,Meg Wolitzer,2.93,8362,"Fiction,Literary Fiction,Contemporary,Audiobook,Novels,Adult Fiction,Magical Realism,Relationships,Womens Fiction,Adult"
186,Red Rain,R.L. Stine,2.91,4921,"Horror,Fiction,Thriller,Fantasy,Fantasy,Mystery,Adult,Fantasy,Adult Fiction,Novels"
187,The Birthing House,Christopher Ransom,2.47,3603,"Horror,Fiction,Thriller,Fantasy,Fantasy,Mystery,Fantasy,Paranormal,Adult,Thriller"
188,The Tennis Party,Madeleine Wickham,2.98,5663,"Womens Fiction,Fiction,Romance,Contemporary,European Literature,Audiobook,Humor,Adult,Romance,Womens Fiction"
189,Rich Again,Anna Maxted,2.59,499,"Womens Fiction,Contemporary,Fiction"
190,The House on the Cliff,Charlotte Williams,2.88,631,"Mystery,Fiction,Thriller,Suspense,Contemporary,Gothic,Adult Fiction,Thriller,European Literature,Horror"
191,You Don't Scare Me,John Farris,2.88,152,"Horror,Fiction,Thriller,Fantasy"
192,Tell-All,Chuck Palahniuk,2.87,13359,"Fiction,Contemporary,Audiobook,Novels,Humor,Adult Fiction,Thriller,Unfinished,Literature,Literature"
193,Part-Time Princesses,Monica Gallagher,2.86,298,"Sequential Art,Young Adult,Sequential Art,Young Adult,Graphic Novels Comics,Fiction,LGBT,Realistic Fiction,Young Adult,Young Adult"
194,"Attila, King of the Huns: The Man and the Myth",Patrick Howarth,2.97,114,"History,Biography,Nonfiction"
195,Love and Death in the Sunshine State: The Story of a Crime,Cutter Wood,2.69,536,"Crime,Nonfiction,Autobiography,Mystery,Mystery,History,Literary Fiction,Literature,Biography,Unfinished"
196,"Mister Terrific, Vol. 1: Mind Games",Eric Wallace,2.78,373,"Sequential Art,Sequential Art,Superheroes,Graphic Novels Comics,Science Fiction,Comics,Comics,Action"
197,The Little People,John Christopher,2.96,167,"Horror,Fiction,Science Fiction,Fantasy,Adult,German History,Holiday,Science Fiction Fantasy"
198,The Shack,William Paul Young,3.8,606187,"Fiction,Christian,Christian Fiction,Religion,Spirituality,Religion,Inspirational,Religion,Adult Fiction,Adult"
199,We All Fall Down,Rose Szabo,2.49,865,"Fantasy,Young Adult,LGBT,LGBT,Young Adult,Fiction,Paranormal,Fantasy,Fantasy,Fantasy"
200,I Wish My Kids Had Cancer: A Family Surviving the Autism Epidemic,Michael Alan,1.26,35,
201,The Finkler Question,Howard Jacobson,2.81,14987,"Fiction,Literature,Literary Fiction,Contemporary,Literature,European Literature,Novels,Unfinished,Humor,Book Club"
202,Le Divorce,Diane Johnson,2.94,4687,"Fiction,Womens Fiction,Cultural,Romance,Contemporary,Novels,Humor,Travel,Literary Fiction,Adult Fiction"
203,Walks with Men,Ann Beattie,2.73,1706,"Fiction,Short Stories,Romance,Contemporary,Novella,New York,Novels,Adult,Adult Fiction,Literature"
204,The Creator's Map,Emilio Calderón,2.93,327,"Historical,Fiction,Adventure,Thriller,Cultural,Historical,War,War,Cultural,Mystery"
205,We Are Totally Normal,Rahul Kanakia,2.66,2991,"LGBT,Young Adult,Contemporary,Romance,LGBT,Fiction,Audiobook,Young Adult,Romance,LGBT"
206,Daredevil/Batman: Eye for an Eye,D.G. Chichester,2.73,124,"Sequential Art,Sequential Art,Dc Comics,Superheroes,Superheroes,Comics,Fiction,Graphic Novels Comics,Comics"
207,Girl Land,Caitlin Flanagan,2.92,502,"Nonfiction,Feminism,Psychology,Womens,Parenting,Autobiography,Writing,Politics,Sociology,Adult"
208,"Antigua: The Land of Fairies, Wizards and Heroes",Larry   Ellis,1.63,76,"Fantasy,Fiction,Young Adult"
209,Love Transposed,Chelsy Day,2.83,173,"Romance,Contemporary,Short Stories,Fiction,Novella,Romance,Fantasy,Fantasy"
210,Thanos vs. Hulk,Jim Starlin,2.61,236,"Sequential Art,Superheroes,Sequential Art,Comics,Comics,Fiction,Graphic Novels Comics"
211,حكايات الجواري في قصور الخلافة,سعيد أبو العينين,2.89,114,History
212,Nasza szkapa,Maria Konopnicka,2.77,562,"European Literature,Classics,Academic,Short Stories,Fiction,Childrens,Cultural,Canon"
213,Redemption Prep,Samuel       Miller,2.77,744,"Mystery,Young Adult,Contemporary,Fiction,School Stories,Thriller,Thriller,Science Fiction,Young Adult,Audiobook"
214,Amnesia,Peter Carey,2.83,2261,"Fiction,Cultural,Thriller,Contemporary,Mystery,Literary Fiction,Mystery,Audiobook,Novels,Science Fiction"
215,A Separation,Katie Kitamura,2.99,14698,"Fiction,Literary Fiction,Contemporary,Mystery,Novels,Cultural,Adult Fiction,Adult,Marriage,Audiobook"
216,"The Eye of Jade (A Mei Wang Mystery, #1)",Diane Wei Liang,2.97,1076,"Mystery,Cultural,Fiction,Mystery,Cultural,Literature,Adult,Thriller,Mystery,Audiobook"
217,Ivy Day in the Committee Room,James Joyce,2.8,142,"Short Stories,Fiction,Cultural,Classics,Politics,Literature"
218,"Rozdzióbią nas kruki, wrony. Utwory powieściowe",Stefan Żeromski,2.96,1081,"Academic,European Literature,Classics,Fiction,Short Stories,Historical,Stories"
219,Leaving Isn't the Hardest Thing: Essays,Lauren  Hough,3.27,8693,"Autobiography,Nonfiction,Writing,LGBT,LGBT,Audiobook,Religion,Biography,Feminism,Religion"
220,Kind of a Big Deal,Shannon Hale,2.83,3331,"Young Adult,Fantasy,Contemporary,Fiction,Romance,Magical Realism,Young Adult,Audiobook,Young Adult,Young Adult"
221,Ten Days in the Hills,Jane Smiley,2.54,1687,"Fiction,Contemporary,Literature,Romance,Unfinished,Literary Fiction,Novels,Adult,Book Club,Womens"
222,Ludzie bezdomni,Stefan Żeromski,2.91,4423,"Classics,European Literature,Academic,Fiction,Cultural,Academic,Novels,Literature,Historical,Literature"
223,Slave to Fashion,Rebecca    Campbell,2.66,468,"Womens Fiction,Fiction,Humor,Couture,Contemporary,European Literature,Romance"
224,Reus,Annelies Verbeke,2.83,343,"European Literature,Fiction,Roman,Literature"
225,Wit zand,Kristien Hemmerechts,2.84,194,"Literature,Fiction,Roman"
226,Kathleen Hale Is a Crazy Stalker,Kathleen  Hale,2.07,653,"Nonfiction,Writing,Autobiography,Unfinished,Short Stories,Humor"
227,"The Last Lost World: Ice Ages, Human Origins, and the Invention of the Pleistocene",Lydia Pyne,2.93,127,"Science,History,Anthropology,Nonfiction,Environment,Environment,Philosophy,Science"
228,The Unfinished Land,Greg Bear,2.85,243,"Fantasy,Historical,Historical Fiction,Adventure,Young Adult,Adult,Historical,Science Fiction,Literature,Fiction"
229,Pikachu Meets the Press: A Pokemon Newspaper Strip Collection,Gerard Jones,3.89,19,
230,Een zuil van zout,Kristien Hemmerechts,2.87,340,"European Literature,Roman,Fiction"
231,Voodoo: Dancing in the Dark,Alan Moore,2.77,168,"Sequential Art,Sequential Art,Fantasy,Graphic Novels Comics,Horror,Superheroes"
232,The People We Hate at the Wedding,Grant Ginder,2.85,11969,"Fiction,Contemporary,Womens Fiction,Humor,Audiobook,Adult Fiction,Adult,Family,Romance,LGBT"
233,The Boy and the Peddler of Death (The Tale of Onora #1),Dylan Saccoccio,1.54,587,"Fantasy,Fantasy,Novels"
234,The Searing,John Coyne,2.88,138,"Horror,Fiction,Science Fiction,Science Fiction Fantasy,Science Fiction"
235,The Aryan Christ: The Secret Life of Carl Jung,Richard Noll,3.5,101,"Psychology,History,Biography"
236,Barbary Shore,Norman Mailer,2.87,535,"Fiction,Novels,Literature,Literature,New York,Literary Fiction,Anthologies,American"
237,The Cleveland Heights LGBTQ Sci-Fi and Fantasy Role Playing Club,Doug Henderson,3.06,203,"LGBT,Fantasy,Fiction,Contemporary,Adult,Humor,LGBT,Realistic Fiction,Games"
238,Mrs. God,Peter Straub,2.48,917,"Horror,Fiction,Fantasy,Gothic,Mystery,Thriller,Adult Fiction,Contemporary,Novella,Fantasy"
239,Pixu: The Mark of Evil,Gabriel Bá,2.8,519,"Sequential Art,Sequential Art,Horror,Graphic Novels Comics,Sequential Art,Fiction,Comics,Fantasy"
240,"Hawk & Dove, Volume 1: First Strikes",Rob Liefeld,2.84,462,"Sequential Art,Sequential Art,Superheroes,Comics,Graphic Novels Comics,Comics"
241,Castle of Lies,Kiersi Burkhart,2.72,285,"Fantasy,Young Adult,LGBT,Fantasy,Young Adult,Fantasy,Science Fiction Fantasy,Polyamory,LGBT,Romance"
242,A Midsummer Night's Scream,R.L. Stine,2.83,2154,"Horror,Young Adult,Mystery,Thriller,Fantasy,Retellings,Young Adult,Fiction,Romance,Audiobook"
243,Aliens vs. Predator vs. the Terminator,Mark Schultz,2.94,141,"Sequential Art,Sequential Art,Science Fiction,Comics,Horror,Action,Science Fiction"
244,Traffic,John Ruskin,2.88,678,"Classics,Nonfiction,Art,Writing,Short Stories,Literature,European Literature,Politics,Classics,Philosophy"
245,"Life After Death (The Coldest Winter Ever, #2)",Sister Souljah,2.53,2444,"Fiction,Audiobook,Contemporary,Urban,Womens Fiction,Adult Fiction"
246,Nothing But Blackened Teeth,Cassandra Khaw,2.74,23914,"Horror,Fiction,Novella,Fantasy,Adult,Fantasy,Audiobook,Paranormal,Short Stories,Cultural"
247,Michael Jackson Was My Lover: The Secret Diary Of Jordie Chandler,Victor M. Gutiérrez,2.83,59,
248,"Devour (Institut Scientifique, #1)",Melina Morel,2.84,129,"Romance,Paranormal,Fantasy,Shapeshifters,Fantasy,Romance,Fiction,Fantasy,Fantasy"
249,After Alice,Gregory Maguire,2.81,11439,"Fantasy,Fiction,Retellings,Historical,Audiobook,Adult,Fantasy,Adult Fiction,Young Adult,Adventure"
250,Four Beasts in One: The Homo-Cameleopard,Edgar Allan Poe,2.51,377,"Short Stories,Classics,Fiction,Humor,Horror,Historical,Literature,Literature"
251,"The Longest Line on the Map: The United States, the Pan-American Highway, and the Quest to Link the Americas",Eric Rutkow,2.97,185,"History,Nonfiction,Travel,Politics,Science,North American Hi...,Audiobook,History,Cartography"
252,"Controller (Warmer, #3)",Jesse Kellerman,2.73,1122,"Short Stories,Fiction,Science Fiction,Science Fiction,Audiobook,Science Fiction,Environment,The United States Of America,Novella,Environment"
253,Stop Feedin' da Boids!,James Sage,2.89,237,"Childrens,Animals,Childrens,Animals,Fiction,Humor,Food and Drink,Childrens,Childrens"
254,Even If We Break,Marieke Nijkamp,2.94,4345,"Young Adult,Mystery,Thriller,Horror,LGBT,Thriller,Contemporary,LGBT,Fiction,Suspense"
255,Marville Volume 1 TPB,Bill Jemas,1.51,41,"Sequential Art,Superheroes,Sequential Art"
256,Freewill,Chris    Lynch,2.85,562,"Young Adult,Mystery,Fiction,Realistic Fiction,Young Adult,Health,Contemporary,Magical Realism,Young Adult,Thriller"
257,"Godin, held",Gustaaf Peek,2.78,668,"Fiction,Roman,European Literature,Literature,Love,Novels"
258,The Old English Baron,Clara Reeve,2.96,684,"Gothic,Classics,Fiction,Horror,Literature,European Literature,Literature,Mystery,Horror,Romance"
259,Snark: A Polemic in Seven Fits,David Denby,2.75,427,"Nonfiction,Humanities,Cultural,Criticism,Sociology,Humor,Audiobook,Philosophy,Culture,Language"
260,The Measures Between Us,Ethan Hauser,2.86,242,"Fiction,Unfinished"
261,Motherland,Amy Sohn,2.86,1114,"Fiction,Womens Fiction,Contemporary,New York,Adult Fiction,Adult,Novels,Parenting,Relationships,Family"
262,The Deceased,Tom Piccirilli,2.83,139,"Horror,Fiction"
263,Moon People (Moon People #1),Dale M. Courtney,2.52,167,"Science Fiction,Fiction"
264,Wisenheimer: A Childhood Subject to Debate,Mark Oppenheimer,2.93,127,"Autobiography,Nonfiction,Biography,Biography Memoir,Education,Biography"
265,القوس والفراشة,محمد الأشعري,2.98,572,"Fiction,Novels,Northern Africa,Moroccan,Cultural,Literature"
266,"Journal of a Sneaky Twerp: Gregor ""Shmegegge"" Hufflepuff's Memoir",Jest Ninney,2.92,392,
267,The Godyssey,Rob Liefeld,1.0,0,
268,Alison Wonderland,Helen  Smith,2.46,1579,"Fiction,Mystery,Fantasy,Womens Fiction,European Literature,Contemporary,Humor,Romance,Literary Fiction,Fantasy"
269,The Receptionist: An Education at The New Yorker,Janet Groth,2.55,1901,"Autobiography,Nonfiction,Biography,New York,Biography,History,Adult,Biography Memoir,Unfinished,Language"
270,The Seasons,Kristijonas Donelaitis,2.63,820,"Poetry,Classics,Fiction,Academic,Academic,Epic"
271,X-Tinction Agenda: Warzones!,Marc Guggenheim,2.72,167,"Sequential Art,Superheroes,Sequential Art,Comics,Marvel,Comics"
272,Get Up and Do It!: Essential Steps to Achieve Your Goals,Beechy Colclough,2.99,139,"Nonfiction,Self Help,Audiobook,Self Help"
273,Solstice,Lorence Alison,2.92,367,"Horror,Young Adult,Mystery,Thriller,Fiction,Contemporary,Adventure,Adventure,Humor,Young Adult"
274,The Third Translation,Matt Bondurant,2.58,474,"Fiction,Mystery,Thriller,Northern Africa,Historical,History,Thriller,Archaeology,Adult Fiction,Literary Fiction"
275,"Baldur's Gate II: Shadows of Amn (Forgotten Realms: Baldur's Gate, #2)",Philip Athans,2.69,516,"Dungeons and Dragons,Fantasy,Fiction,Role Playing Games,Adventure,Audiobook,Fantasy,Sports and Games,Games"
276,Lisa's Adem,Karel Glastra van Loon,2.81,468,"Fiction,Roman,Contemporary,European Literature"
277,Colors Demonic and Divine: Shades of Meaning in the Middle Ages and After,Herman Pleij,3.04,141,"History,Nonfiction,Art,Historical,Historical"
278,The Second Shepherd's Play,Wakefield Master,2.77,781,"Plays,Classics,Drama,Academic,Plays,Historical,Academic,Literature,Academic,Literature"
279,The Break Up,Charlotte Barnes,2.68,243,"LGBT,LGBT,LGBT,Contemporary,Adult,Romance,Audiobook,Realistic Fiction,LGBT"
280,The Butterflies of Grand Canyon,Margaret Erhart,2.59,196,"Fiction,Mystery,Historical,Romance"
281,Penelope,Rebecca Harrington,2.67,2896,"Fiction,Contemporary,Young Adult,Academic,Womens Fiction,New Adult,Humor,Adult Fiction,Adult,Novels"
282,Beautiful Broken Girls,Kim  Savage,2.7,854,"Young Adult,Mystery,Contemporary,Thriller,Thriller,Fiction,Young Adult,Suspense,Magical Realism,Young Adult"
283,A Quiet Adjustment,Benjamin Markovits,2.8,144,"Fiction,Historical,Historical,Historical,European Literature,Literature,Contemporary,Literary Fiction"
284,يوسف والرداء,إبراهيم أصلان,2.49,633,"Short Stories,Literature"
285,"Lightlark (Lightlark, #1)",Alex Aster,3.48,11627,"Fantasy,Young Adult,Romance,Young Adult,Fiction,Romance,Fantasy,Fantasy,Science Fiction,Audiobook"
286,The Ladies' Lending Library,Janice Kulyk Keefer,2.59,669,"Fiction,Historical,Cultural,Womens Fiction,Adult Fiction,Unfinished,Writing,Womens Fiction,Adult,Own"
287,O: A Presidential Novel,Anonymous,2.45,251,"Fiction,Politics,Historical"
288,Pobre Ana,Blaine Ray,2.72,903,"Academic,European Literature,Academic,Cultural,Realistic Fiction,Fiction,European Literature,Humanities,Young Adult"
289,All-New Captain America: Fear Him,Dennis Hopeless,2.7,189,"Sequential Art,Superheroes,Sequential Art,Comics,Fiction,Graphic Novels Comics,Comics"
290,The Spy Who Jumped Off the Screen,Thomas Caplan,2.74,376,"Fiction,Thriller,Spy Thriller,Mystery,Thriller,Adventure,Unfinished,Thriller"
291,Mrs Hartley And The Growth Centre,Philippa Gregory,2.69,1102,"Fiction,Historical,Contemporary,Romance,Adult,Unfinished,Womens Fiction,Historical,Humor"
292,A Real Friend,Jennifer Wolfthal,2.25,103,"Childrens,Science Fiction,Plays,Childrens"
293,"Batman: The Blue, the Grey, and the Bat",Elliot S. Maggin,2.96,161,"Sequential Art,Dc Comics,Sequential Art,Superheroes,Comics,Historical,Comics,Westerns,Graphic Novels Comics,Military History"
294,Hiding in Plain Sight,Nuruddin Farah,2.87,631,"Fiction,Cultural,Eastern Africa,Literature,Contemporary,LGBT,Adult Fiction,Novels"
295,The Last to Die,Kelly  Garrett,2.96,1803,"Mystery,Young Adult,Thriller,Thriller,Fiction,Horror,Mystery,Mystery,Suspense,Young Adult"
296,Batman/Spawn: War Devil,Doug Moench,2.66,320,"Sequential Art,Sequential Art,Dc Comics,Comics,Comics,Superheroes,Graphic Novels Comics,Fiction"
297,Nad Niemnem,Eliza Orzeszkowa,2.98,2402,"European Literature,Classics,Academic,Fiction,Cultural,Historical,Literature,Literature,Romance,Drama"
298,Delusion,Laura L. Sullivan,2.93,174,"Historical,Fantasy,Young Adult,Romance,Historical,War,Fiction,Young Adult,War,Historical Fiction"
299,Bunker,Andrea Maria Schenkel,2.5,211,"Mystery,Thriller,Fiction,Roman,Mystery,European Literature,Novella"
300,Mystification,Edgar Allan Poe,2.6,221,"Short Stories,Classics,Literature,Horror,Fiction,Gothic,Literature,Humor"
301,Get a Life,Nadine Gordimer,2.95,612,"Fiction,Cultural,Southern Africa,Nobel Prize,Literary Fiction,Short Stories,Family,Literature"
302,Who Is Rich?,Matthew Klam,2.97,1587,"Fiction,Contemporary,Novels,Literary Fiction,Adult Fiction,Literature,Humor,Literature,Unfinished"
303,Landor's Cottage,Edgar Allan Poe,2.46,234,"Short Stories,Fiction,Classics,Horror,Literature"
304,Zorba the Hutt's Revenge (Star Wars: Jedi Prince #3),Paul  Davids,2.77,652,"Media Tie In,Science Fiction,Fiction,Fantasy,Young Adult,Childrens,Childrens,Childrens,Novels,Fantasy"
305,Game Runner,B.R. Collins,2.84,160,"Science Fiction,Young Adult,Science Fiction,Fiction"
306,Indigo,Charlaine Harris,2.86,1018,"Fantasy,Fantasy,Mystery,Fantasy,Fiction,Horror,Anthologies,Science Fiction Fantasy,Audiobook,Fantasy"
307,Second-Hand Princess,Lorraine J. Anderson,2.63,252,"Fantasy,Fantasy,Short Stories,Historical,Paranormal,Romance,Fiction"
308,Syzyfowe prace,Stefan Żeromski,2.4,5503,"European Literature,Academic,Classics,Fiction,Historical,Academic,Cultural,Literature,Novels,Audiobook"
309,The Best Laid Plans,Lynn Edelman Schnurnberger,2.66,383,"Womens Fiction,Fiction,Audiobook"
310,The Divided States of Hysteria,Howard Chaykin,2.63,142,"Sequential Art,Sequential Art,Fiction,Mystery,Graphic Novels Comics,Comics,Politics"
311,The Catsitters,James Wolcott,2.93,190,"Fiction,Animals,Humor,Novels"
312,A Bigamist's Daughter,Alice McDermott,2.96,647,"Fiction,Contemporary,Novels,Literary Fiction,Relationships"
313,"The Hot One: A Memoir of Friendship, Sex, and Murder",Carolyn Murnick,2.81,1358,"Crime,Autobiography,Nonfiction,Mystery,Mystery,Biography,Young Adult,Biography,New York,Thriller"
314,Lucky You,Erika Carter,2.62,2868,"Fiction,Contemporary,Literary Fiction,Novels,Adult Fiction,Young Adult,Adult,New Adult,Realistic Fiction,Drama"
315,The Affairs of Others,Amy Grace Loyd,2.79,1323,"Fiction,Contemporary,Adult,Literary Fiction,New York,Audiobook,Suspense,Novels,Adult Fiction,Adult Fiction"
316,شريعة حمورابي,محمود الأمين,2.86,202,"History,Nonfiction"
317,Albion,Alan Moore,2.96,623,"Sequential Art,Sequential Art,Comics,Fantasy,Comics,Fiction,Graphic Novels Comics,Science Fiction,Science Fiction,Sequential Art"
318,"Gork, the Teenage Dragon",Gabe Hudson,2.81,868,"Fantasy,Fiction,Young Adult,Fantasy,Humor,Science Fiction,Science Fiction Fantasy,Adult,Young Adult,Fantasy"
319,Subtle Bodies,Norman Rush,2.78,806,"Fiction,Contemporary,Literary Fiction,Novels,Adult Fiction,American,Unfinished"
320,Palimpsest: A History of the Written Word,Matthew Battles,2.93,221,"Nonfiction,History,Language,Writing,Humanities,Humanities,Audiobook,Historical,Literature,Literature"
321,The Sopaths,Piers Anthony,2.7,339,"Horror,Fantasy"
322,Starting from Happy,Patricia Marx,2.52,625,"Fiction,Humor,Contemporary,Adult Fiction,Romance,Unfinished,Novels,Womens Fiction"
323,After the Saucers Landed,Douglas Lain,2.78,197,"Science Fiction,Fiction,Science Fiction Fantasy,Science Fiction,New York"
324,Batman: Digital Justice,Pepe Moreno,2.72,223,"Sequential Art,Sequential Art,Dc Comics,Superheroes,Comics,Art,Science Fiction,Graphic Novels Comics"
325,A Child's Book of True Crime,Chloe Hooper,2.95,706,"Fiction,Cultural,Mystery,Cultural,Mystery,Thriller,Literary Fiction,Suspense,Audiobook,Literature"
326,Crazy Emma,Brandie Buckwine,2.72,399,"Adult Fiction,Romance,Short Stories,Adult,Womens Fiction,Fiction,Romance,Contemporary,Modern,Adult Fiction"
327,Confessions of a Rebel Debutante: A Cordial Invitation,Anna  Fields,2.64,237,"Autobiography,Nonfiction,Biography,Womens Fiction,American"
328,All the Sad Young Literary Men,Keith Gessen,2.91,1475,"Fiction,Contemporary,Novels,Literary Fiction,Literature,Literature,Literature,Modern,Adult,Cultural"
329,"Justice League of America, Vol. 7: Team History",James Robinson,2.8,224,"Sequential Art,Sequential Art,Superheroes,Comics,Comics,Graphic Novels Comics,Dc Comics,Sequential Art"
330,The Street,H.P. Lovecraft,2.4,909,"Horror,Short Stories,Horror,Fiction,Classics,Fantasy,Literature,Mystery,Audiobook,Gothic"
331,The Independence of Miss Mary Bennet,Colleen McCullough,2.92,3054,"Historical,Fiction,Romance,Historical,Historical,Womens Fiction,Romance,European Literature,Audiobook,Novels"
332,Prospect Park West,Amy Sohn,2.8,1791,"Fiction,Womens Fiction,New York,Contemporary,Humor,Adult Fiction,Audiobook,Marriage,Novels,Family"
333,أيام بين شيكاغو وباريس,محمد حامد الأحمري,2.74,205,
334,"A Princess of Roumania (Princess of Roumania, #1)",Paul Park,2.88,663,"Fantasy,Fiction,Science Fiction,Young Adult,Science Fiction,Adventure,Science Fiction Fantasy,Speculative Fiction,Fantasy,Young Adult"
335,"Shadowmancer (Shadowmancer, #1)",G.P. Taylor,2.82,3138,"Fantasy,Young Adult,Fiction,Childrens,Fantasy,Christian Fiction,Christian,Fantasy,Mystery,Science Fiction Fantasy"
336,Inglorious,Joanna Kavenna,2.84,304,"Fiction,Novels,Contemporary,European Literature,Philosophy,Unfinished,Womens,Literary Fiction,Literature"
337,Mendel Gdański. Miłosierdzie gminy,Maria Konopnicka,2.86,544,"European Literature,Academic,Classics,Fiction,Novels,Short Stories"
338,The Magdalene Cipher,Jim Hougan,2.97,985,"Thriller,Fiction,Mystery,Thriller,Historical,Mystery,Suspense,Spy Thriller,Action,Pseudoscience"
339,The Actress,Amy Sohn,2.92,1175,"Fiction,Contemporary,Romance,Womens Fiction,Relationships,Audiobook,Media Tie In,Novels,Womens Fiction,Adult"
340,التحول,Δημήτρης Δημητριάδης,2.74,229,Novels
341,All the Lives He Led,Frederik Pohl,2.91,266,"Science Fiction,Fiction,Thriller,Science Fiction,Science Fiction Fantasy"
342,Der Schmuck der Lady Catherine,Joan Aiken,2.86,400,"Fiction,Historical,Historical,Historical,Romance,Adult,Retellings,Literature,Literature,Historical Romance"
343,Girl Cook,Hannah Mccouch,2.75,323,"Womens Fiction,Fiction,Romance,Food and Drink,Food and Drink,Adult Fiction"
344,This Is Why You're Single,Laura  Lane,2.95,189,"Nonfiction,Humor,Self Help,Womens Fiction"
345,Iago,David Snodin,2.98,207,"Historical,Fiction,Historical,Mystery,Cultural,Novels,Adult,Retellings"
346,The Foreigner,Francie Lin,2.82,298,"Fiction,Mystery,Cultural,Cultural,Thriller,Literature,Novels,Thriller"
347,Belle in the Big Apple: A Novel with Recipes,Brooke Parkhurst,2.23,165,"Fiction,Womens Fiction"
348,Pure,Rebbecca Ray,2.9,1910,"Fiction,Young Adult,Young Adult,Contemporary,Young Adult,Womens Fiction,Sociology,Adult,Adult Fiction,Modern"
349,Pop Tart,Kira Coplin,2.68,289,"Womens Fiction,Fiction,Young Adult"
350,Bob Honey Who Just Do Stuff,Sean Penn,2.06,680,"Fiction,Politics,Humor,Contemporary,Literary Fiction,Novels"
351,Everyone She Loved,Sheila Curran,2.87,226,Fiction
352,Murder in Mount Holly,Paul Theroux,2.47,214,"Fiction,Mystery,Mystery,Humor,Literature"
353,The Queen's Sorrow,Suzannah Dunn,2.88,776,"Historical,Historical,Fiction,English History,European Literature,Tudor Period,Historical"
354,Tris & Izzie,Mette Ivie Harrison,2.61,1166,"Young Adult,Fantasy,Fantasy,Romance,Retellings,Fantasy,Fantasy,Fantasy,Young Adult,Contemporary"
355,Blueprint Blaupause,Charlotte Kerner,2.73,1245,"Academic,Science Fiction,European Literature,Young Adult,Science Fiction,Fiction,Academic,Music,Contemporary,Childrens"
356,Rogue Touch,Christine Woodward,2.86,415,"Fantasy,Comics,Young Adult,Sequential Art,Romance,Science Fiction,Fiction,Superheroes,Science Fiction,Fantasy"
357,Bad Heir Day,Wendy  Holden,3.0,1884,"Womens Fiction,Fiction,Romance,Contemporary,European Literature,Humor,Romance,Novels,Humor,Adult"
358,Ultimate End,Brian Michael Bendis,2.82,460,"Sequential Art,Sequential Art,Superheroes,Comics,Fiction,Science Fiction,Graphic Novels Comics,Comics,Marvel,Sequential Art"
359,Hot Pterodactyl Boyfriend,Alan Cumyn,2.09,567,"Young Adult,Fantasy,Romance,Humor,Contemporary,Fiction,Young Adult,Young Adult,Animals,Fantasy"
360,Rapture,Susan Minot,2.96,786,"Fiction,Romance,Adult Fiction,Novels,Adult,Contemporary,Novella,Adult Fiction,Sexuality,Literary Fiction"
361,Batman: Haunted Gotham,Doug Moench,2.73,237,"Sequential Art,Sequential Art,Dc Comics,Superheroes,Horror,Comics,Comics,Fantasy,Graphic Novels Comics,Horror"
362,Hamlet's Father,Orson Scott Card,2.8,381,"Fiction,Audiobook,Historical,Retellings,Fantasy,Classics,Adult,Mystery,Novella,Paranormal"
363,علشان الصنارة تغمز: كلام لازم كل الولاد تعرفه,أمل محمود,2.7,736,Social
364,"Wolverines, Volume 2: Claw, Blade and Fang",Charles Soule,2.77,195,"Sequential Art,Superheroes,Sequential Art,Comics,Marvel,Comics,Fiction,Graphic Novels Comics,Science Fiction"
365,The Suitors,Cécile David-Weill,2.56,538,"Fiction,Cultural,Contemporary,Humor,Womens Fiction,Audiobook"
366,A Good Talk: The Story and Skill of Conversation,Daniel Menaker,2.48,235,"Nonfiction,Psychology,Self Help,Relationships,Language,Adult"
367,"Fine, Fine, Fine, Fine, Fine",Diane Williams,2.8,814,"Short Stories,Fiction,Adult Fiction,Short Stories,The United States Of America,Literature,Anthologies,Unfinished,Anthologies,Literary Fiction"
368,Beach Week,Susan Coll,2.46,276,"Fiction,Humor,Adult Fiction,Contemporary,Family"
369,The Washingtonienne,Jessica Cutler,2.84,1578,"Womens Fiction,Fiction,Politics,Humor,Adult Fiction,Sexuality,Sexuality,Contemporary"
370,Cyber Cinderella,Christina Hopkinson,2.72,229,
371,O krasnoludkach i sierotce Marysi,Maria Konopnicka,2.88,621,"European Literature,Classics,Childrens,Fiction,Fantasy,Cultural,Academic,Novels"
